,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,artist_name,track_name,album_name,release_date,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,track_href,type,uri,valence,odd_time_signature,predicted_cluster,proba_class_0,proba_class_1,proba_class_2,proba_class_3,proba_class_4
73,,,,,,,,,,,,,,,Radiohead,Street Spirit (Fade Out),The Bends,1995-03-13,0.317,0.488,-0.3780193493830882,0.454,2QwObYJWyJTiozvs0RI7CF,0.694,4,0.179,0.5206685461890922,0,0.0304,0.7968541952475312,https://api.spotify.com/v1/tracks/2QwObYJWyJTiozvs0RI7CF,audio_features,spotify:track:2QwObYJWyJTiozvs0RI7CF,0.131,0,2,0.1,0.0,0.85,0.05,0.0
76,,,,,,,,,,,,,,,Frank Zappa,Watermelon In Easter Hay,"Joe's Garage Acts I, II & III",1979-09-17,0.192,0.486,0.5770427056694621,0.433,0Q2dRzhPWFOex89dOjbq5Y,0.031,9,0.124,0.23648751072620705,1,0.0439,-0.16678514845025075,https://api.spotify.com/v1/tracks/0Q2dRzhPWFOex89dOjbq5Y,audio_features,spotify:track:0Q2dRzhPWFOex89dOjbq5Y,0.295,0,2,0.3,0.0,0.5,0.2,0.0
79,,,,,,,,,,,,,,,The Velvet Underground,Oh! Sweet Nuthin' - 2015 Remaster,Loaded: Re-Loaded 45th Anniversary Edition,1970,0.303,0.399,0.24330500957955012,0.467,0i19MAZbyn8uTir7FprXId,0.0186,5,0.124,0.48331221559703236,1,0.0284,-1.4213981259580308,https://api.spotify.com/v1/tracks/0i19MAZbyn8uTir7FprXId,audio_features,spotify:track:0i19MAZbyn8uTir7FprXId,0.525,0,3,0.15,0.0,0.0,0.85,0.0
81,,,,,,,,,,,,,,,Yes,"Starship Trooper: a. Life Seeker, b. Disillusion, c. Würm",The Yes Album (Deluxe Edition),1971-02-19,0.0103,0.294,0.6360564072354569,0.456,1K75F5lMyhGFqbM8HwWSpS,0.00727,7,0.16,0.374825337713242,1,0.0314,-1.3756660893079666,https://api.spotify.com/v1/tracks/1K75F5lMyhGFqbM8HwWSpS,audio_features,spotify:track:1K75F5lMyhGFqbM8HwWSpS,0.431,0,3,0.2,0.0,0.0,0.8,0.0
83,,,,,,,,,,,,,,,King Crimson,I Talk To The Wind,In The Court Of The Crimson King (Expanded & Remastered Original Album Mix),1969-10-10,0.54,0.318,-0.014948534587094059,0.309,1T0CdfKPKb1gJi4vCKpZ9C,0.625,4,0.11,-0.5101273705589355,1,0.0364,-1.216917691899242,https://api.spotify.com/v1/tracks/1T0CdfKPKb1gJi4vCKpZ9C,audio_features,spotify:track:1T0CdfKPKb1gJi4vCKpZ9C,0.306,0,3,0.05,0.0,0.0,0.95,0.0
87,,,,,,,,,,,,,,,George Harrison,I'd Have You Anytime (2014 Remaster),All Things Must Pass (2014 Remaster),1970-11-20,0.756,0.553,-0.6261801964459459,0.345,7c37wgrjBNMnxAvGTXBJTT,0.00567,7,0.103,0.5638244897497824,1,0.0264,0.8473440680087044,https://api.spotify.com/v1/tracks/7c37wgrjBNMnxAvGTXBJTT,audio_features,spotify:track:7c37wgrjBNMnxAvGTXBJTT,0.252,0,2,0.15,0.0,0.85,0.0,0.0
89,,,,,,,,,,,,,,,King Crimson,"The Court Of The Crimson King - Including ""The Return of the Fire Witch"" and ""The Dance of the Puppets""",In The Court Of The Crimson King (Expanded & Remastered Original Album Mix),1969-10-10,0.0832,0.337,0.7542526714515507,0.344,3kzbkZtBqamTgyO31DO1Sn,0.207,4,0.224,0.4294099303591741,0,0.0429,0.7185629368520413,https://api.spotify.com/v1/tracks/3kzbkZtBqamTgyO31DO1Sn,audio_features,spotify:track:3kzbkZtBqamTgyO31DO1Sn,0.0704,0,4,0.0,0.0,0.25,0.0,0.75
91,,,,,,,,,,,,,,,Ten Years After,I'd Love to Change the World - 2004 Remaster,A Space in Time (Deluxe Version),1971-08,0.202,0.383,-0.47452995360591116,0.516,7n3WO6ESKS1uCI9fgkGs66,0.193,9,0.114,0.43742704240404545,0,0.0344,0.0891438268398603,https://api.spotify.com/v1/tracks/7n3WO6ESKS1uCI9fgkGs66,audio_features,spotify:track:7n3WO6ESKS1uCI9fgkGs66,0.371,0,2,0.15,0.0,0.85,0.0,0.0
92,,,,,,,,,,,,,,,Stevie Ray Vaughan,Little Wing,Couldn't Stand The Weather (Legacy Edition),1984,0.362,0.475,0.12410532084445043,0.383,5XNpdKmlLJPUbwKQceX2tW,0.749,1,0.0728,0.06727527352381706,1,0.0375,-0.03282010630685617,https://api.spotify.com/v1/tracks/5XNpdKmlLJPUbwKQceX2tW,audio_features,spotify:track:5XNpdKmlLJPUbwKQceX2tW,0.524,0,2,0.1,0.05,0.8,0.05,0.0
96,,,,,,,,,,,,,,,Jethro Tull,Aqualung,Aqualung (Special Edition),1971-03-19,0.0649,0.477,0.08418591109643016,0.479,5UuikgHTxSRFRnC0zXx10i,0.029,7,0.0906,0.4621606859467335,0,0.0483,0.24490970011923288,https://api.spotify.com/v1/tracks/5UuikgHTxSRFRnC0zXx10i,audio_features,spotify:track:5UuikgHTxSRFRnC0zXx10i,0.662,0,2,0.2,0.0,0.75,0.0,0.05
98,,,,,,,,,,,,,,,King Crimson,"Epitaph - Including ""March for No Reason"" and ""Tomorrow and Tomorrow""",In The Court Of The Crimson King (Expanded & Remastered Original Album Mix),1969-10-10,0.00721,0.284,0.5084039223095089,0.318,5j4fSU12bw4G6JDVPU7JTB,0.00864,4,0.0858,0.2861253746636018,0,0.0319,0.5704309050942246,https://api.spotify.com/v1/tracks/5j4fSU12bw4G6JDVPU7JTB,audio_features,spotify:track:5j4fSU12bw4G6JDVPU7JTB,0.0924,0,2,0.05,0.0,0.75,0.05,0.15
99,,,,,,,,,,,,,,,Santana,Black Magic Woman / Gypsy Queen,Abraxas,1970-09-23,0.657,0.464,-0.16395545199518474,0.462,7cDxjUnMitNKQC5c8RQUko,0.527,2,0.124,0.08586815039383774,0,0.0406,0.29824007205121755,https://api.spotify.com/v1/tracks/7cDxjUnMitNKQC5c8RQUko,audio_features,spotify:track:7cDxjUnMitNKQC5c8RQUko,0.557,0,2,0.05,0.0,0.95,0.0,0.0
