,track_name,album_name,release_date,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
3,Black Dog - Remaster,Led Zeppelin IV (Deluxe Edition),1971-11-08,0.396,0.437,295387,0.864,3qT4bUD1MaWpGrTwcvguhb,0.0314,4,0.242,-7.842,0,0.0904,81.394,4,https://api.spotify.com/v1/tracks/3qT4bUD1MaWpGrTwcvguhb,audio_features,spotify:track:3qT4bUD1MaWpGrTwcvguhb,0.749
4,Rock and Roll - Remaster,Led Zeppelin IV (Deluxe Edition),1971-11-08,0.000582,0.317,220561,0.887,4PRGxHpCpF2yoOHYKQIEwD,0.00258,9,0.0891,-7.292,1,0.0375,169.613,4,https://api.spotify.com/v1/tracks/4PRGxHpCpF2yoOHYKQIEwD,audio_features,spotify:track:4PRGxHpCpF2yoOHYKQIEwD,0.871
5,Good Times Bad Times - 1993 Remaster,Led Zeppelin,1969-01-12,0.0382,0.476,166267,0.717,0QwZfbw26QeUoIy82Z2jYp,7.61e-05,9,0.0818,-9.192,1,0.0949,93.584,4,https://api.spotify.com/v1/tracks/0QwZfbw26QeUoIy82Z2jYp,audio_features,spotify:track:0QwZfbw26QeUoIy82Z2jYp,0.753
6,Ramble On - 1990 Remaster,Led Zeppelin II (1994 Remaster),1969-10-22,0.072,0.468,263333,0.607,3MODES4TNtygekLl146Dxd,0.000852,9,0.225,-11.367,1,0.0336,98.429,4,https://api.spotify.com/v1/tracks/3MODES4TNtygekLl146Dxd,audio_features,spotify:track:3MODES4TNtygekLl146Dxd,0.886
7,Going to California - Remaster,Led Zeppelin IV (Deluxe Edition),1971-11-08,0.943,0.503,212161,0.265,70gbuMqwNBE2Y5rkQJE9By,0.045,2,0.0867,-15.913,1,0.0333,78.044,4,https://api.spotify.com/v1/tracks/70gbuMqwNBE2Y5rkQJE9By,audio_features,spotify:track:70gbuMqwNBE2Y5rkQJE9By,0.522
8,Kashmir - Remaster,Physical Graffiti (Deluxe Edition),1975-02-24,0.452,0.483,517125,0.615,6Vjk8MNXpQpi0F4BefdTyq,0.000414,2,0.0512,-8.538,1,0.0497,80.576,3,https://api.spotify.com/v1/tracks/6Vjk8MNXpQpi0F4BefdTyq,audio_features,spotify:track:6Vjk8MNXpQpi0F4BefdTyq,0.594
9,Over the Hills and Far Away - Remaster,Houses of the Holy (Remaster),1973-03-28,0.0679,0.402,290934,0.691,2eDdFHgqNJltzlvlZFVDWd,0.133,7,0.0955,-10.274,1,0.0691,96.95,4,https://api.spotify.com/v1/tracks/2eDdFHgqNJltzlvlZFVDWd,audio_features,spotify:track:2eDdFHgqNJltzlvlZFVDWd,0.206
0,"Paint It, Black",Aftermath,1966-04-15,0.0493,0.464,202267,0.795,63T7DJ1AFDD6Bn8VzG6JE8,0.00244,1,0.399,-9.267,1,0.0926,158.691,4,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,audio_features,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,0.612
1,Start Me Up - Remastered 2009,Tattoo You (2009 Re-Mastered),1981-08-24,0.0436,0.631,213067,0.932,7HKez549fwJQDzx3zLjHKC,0.137,5,0.0918,-4.142,1,0.0354,122.429,4,https://api.spotify.com/v1/tracks/7HKez549fwJQDzx3zLjHKC,audio_features,spotify:track:7HKez549fwJQDzx3zLjHKC,0.971
2,(I Can't Get No) Satisfaction - Mono Version,Out Of Our Heads,1965-07-30,0.0383,0.723,222813,0.863,2PzU4IB8Dr6mxV3lHuaG34,0.0317,2,0.128,-7.89,1,0.0338,136.302,4,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,audio_features,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,0.931
3,Gimme Shelter,Let It Bleed,1969-12-05,0.447,0.634,270773,0.63,6H3kDe7CGoWYBabAeVWGiD,0.039,1,0.17,-8.277,0,0.031,118.628,4,https://api.spotify.com/v1/tracks/6H3kDe7CGoWYBabAeVWGiD,audio_features,spotify:track:6H3kDe7CGoWYBabAeVWGiD,0.489
4,Beast Of Burden - Remastered 1994,Some Girls,1978-06-09,0.39,0.783,265173,0.878,77oU2rjC5XbjQfNe3bD6so,0.000778,1,0.0426,-3.864,0,0.0308,100.626,4,https://api.spotify.com/v1/tracks/77oU2rjC5XbjQfNe3bD6so,audio_features,spotify:track:77oU2rjC5XbjQfNe3bD6so,0.885
5,Sympathy For The Devil - 50th Anniversary Edition,Beggars Banquet (50th Anniversary Edition),1968-12-06,0.518,0.702,378147,0.668,1Ud6moTC0KyXMq1Oxfien0,0.0,9,0.0588,-9.237,1,0.214,116.063,4,https://api.spotify.com/v1/tracks/1Ud6moTC0KyXMq1Oxfien0,audio_features,spotify:track:1Ud6moTC0KyXMq1Oxfien0,0.561
6,Angie - Remastered 2009,Goats Head Soup (Remastered 2009),1973-08-31,0.67,0.429,272000,0.554,1GcVa4jFySlun4jLSuMhiq,0.000152,9,0.105,-6.128,0,0.0291,136.302,4,https://api.spotify.com/v1/tracks/1GcVa4jFySlun4jLSuMhiq,audio_features,spotify:track:1GcVa4jFySlun4jLSuMhiq,0.407
7,Miss You - Remastered,Some Girls,1978-06-09,0.443,0.795,288667,0.71,3hJLKtTpgct9Y9wKww0BiR,0.0215,9,0.344,-4.746,0,0.0392,109.689,4,https://api.spotify.com/v1/tracks/3hJLKtTpgct9Y9wKww0BiR,audio_features,spotify:track:3hJLKtTpgct9Y9wKww0BiR,0.845
8,Wild Horses - 2009 Mix,Sticky Fingers (Remastered),1971-04-23,0.687,0.432,341773,0.389,52dm9op3rbfAkc1LGXgipW,0.0107,7,0.0788,-6.517,1,0.0255,139.506,4,https://api.spotify.com/v1/tracks/52dm9op3rbfAkc1LGXgipW,audio_features,spotify:track:52dm9op3rbfAkc1LGXgipW,0.158
9,Honky Tonk Women,Forty Licks,2023-07-26,0.279,0.548,181396,0.778,7HIG9Utsra6sL79nA1Tn0y,0.0247,7,0.0484,-6.367,1,0.0551,120.37,4,https://api.spotify.com/v1/tracks/7HIG9Utsra6sL79nA1Tn0y,audio_features,spotify:track:7HIG9Utsra6sL79nA1Tn0y,0.969
0,Don't Stop Me Now - Remastered 2011,Jazz (Deluxe Remastered Version),1978-11-10,0.0472,0.563,209413,0.865,7hQJA50XrCWABAu5v6QZ4i,0.000191,5,0.77,-5.277,1,0.16,156.271,4,https://api.spotify.com/v1/tracks/7hQJA50XrCWABAu5v6QZ4i,audio_features,spotify:track:7hQJA50XrCWABAu5v6QZ4i,0.601
1,Bohemian Rhapsody - Remastered 2011,A Night At The Opera (Deluxe Remastered Version),1975-11-21,0.288,0.392,354320,0.402,7tFiyTwD0nx5a1eklYtX2J,0.0,0,0.243,-9.961,0,0.0536,143.883,4,https://api.spotify.com/v1/tracks/7tFiyTwD0nx5a1eklYtX2J,audio_features,spotify:track:7tFiyTwD0nx5a1eklYtX2J,0.228
2,Another One Bites The Dust - Remastered 2011,The Game (Deluxe Remastered Version),1980-06-27,0.112,0.933,214653,0.528,57JVGBtBLCfHw2muk5416J,0.329,5,0.163,-6.472,0,0.162,109.975,4,https://api.spotify.com/v1/tracks/57JVGBtBLCfHw2muk5416J,audio_features,spotify:track:57JVGBtBLCfHw2muk5416J,0.756
3,Under Pressure - Remastered 2011,Hot Space (Deluxe Remastered Version),1982-05-03,0.422,0.671,248440,0.711,11IzgLRXV7Cgek3tEgGgjw,0.0,2,0.104,-7.813,1,0.0478,113.809,4,https://api.spotify.com/v1/tracks/11IzgLRXV7Cgek3tEgGgjw,audio_features,spotify:track:11IzgLRXV7Cgek3tEgGgjw,0.466
4,Crazy Little Thing Called Love - Remastered 2011,The Game (Deluxe Remastered Version),1980-06-27,0.714,0.599,163373,0.762,35ItUJlMtjOQW3SSiTCrrw,4.43e-06,0,0.35,-6.887,1,0.0423,76.961,4,https://api.spotify.com/v1/tracks/35ItUJlMtjOQW3SSiTCrrw,audio_features,spotify:track:35ItUJlMtjOQW3SSiTCrrw,0.715
5,We Will Rock You - Remastered 2011,News Of The World (Deluxe Remastered Version),1977-10-28,0.679,0.693,122067,0.497,54flyrjcdnQdco7300avMJ,0.0,2,0.258,-7.316,1,0.119,81.308,4,https://api.spotify.com/v1/tracks/54flyrjcdnQdco7300avMJ,audio_features,spotify:track:54flyrjcdnQdco7300avMJ,0.473
6,Thank God It's Christmas - 2011 Remaster,The Works (Deluxe Remastered Version),1984-02-27,0.215,0.304,261627,0.42,3AymrUApW5JKKaNrHQhcBG,0.0,7,0.232,-8.882,1,0.0281,86.269,5,https://api.spotify.com/v1/tracks/3AymrUApW5JKKaNrHQhcBG,audio_features,spotify:track:3AymrUApW5JKKaNrHQhcBG,0.328
7,Killer Queen - Remastered 2011,Sheer Heart Attack (Deluxe Remastered Version),1974-11-08,0.379,0.535,179600,0.65,7GqWnsKhMtEW0nzki5o0d8,0.0,10,0.14,-6.328,1,0.0554,117.188,4,https://api.spotify.com/v1/tracks/7GqWnsKhMtEW0nzki5o0d8,audio_features,spotify:track:7GqWnsKhMtEW0nzki5o0d8,0.61
8,Somebody To Love - Remastered 2011,A Day At The Races (Deluxe Remastered Version),1976-12-10,0.19,0.497,296493,0.693,6cFZ4PLC19taNlpl9pbGMf,0.0,8,0.215,-7.024,1,0.0565,111.539,3,https://api.spotify.com/v1/tracks/6cFZ4PLC19taNlpl9pbGMf,audio_features,spotify:track:6cFZ4PLC19taNlpl9pbGMf,0.358
9,We Are The Champions - Remastered 2011,News Of The World (Deluxe Remastered Version),1977-10-28,0.378,0.268,179200,0.459,7ccI9cStQbQdystvc6TvxD,0.0,7,0.119,-6.948,0,0.0346,64.223,4,https://api.spotify.com/v1/tracks/7ccI9cStQbQdystvc6TvxD,audio_features,spotify:track:7ccI9cStQbQdystvc6TvxD,0.172
0,Enter Sandman (Remastered),Metallica (Remastered),1991-08-12,0.00277,0.566,331560,0.834,3VqHuw0wFlIHcIPWkhIbdQ,0.008,6,0.0625,-8.412,0,0.0298,123.296,4,https://api.spotify.com/v1/tracks/3VqHuw0wFlIHcIPWkhIbdQ,audio_features,spotify:track:3VqHuw0wFlIHcIPWkhIbdQ,0.621
1,Nothing Else Matters (Remastered),Metallica (Remastered),1991-08-12,0.0522,0.547,388733,0.394,2CtemffYhT0DJWcT1XW047,6.4e-06,4,0.0795,-9.793,0,0.0262,142.37,3,https://api.spotify.com/v1/tracks/2CtemffYhT0DJWcT1XW047,audio_features,spotify:track:2CtemffYhT0DJWcT1XW047,0.17
2,Master of Puppets (Remastered),Master of Puppets (Remastered Deluxe Box Set),1986-03-03,0.00067,0.539,515387,0.828,54bm2e3tk8cliUz3VSdCPZ,0.421,4,0.154,-9.108,0,0.035,105.25,4,https://api.spotify.com/v1/tracks/54bm2e3tk8cliUz3VSdCPZ,audio_features,spotify:track:54bm2e3tk8cliUz3VSdCPZ,0.562
3,For Whom The Bell Tolls (Remastered),Ride The Lightning (Deluxe Remaster),1984-07-27,0.00631,0.512,309973,0.86,51YZAJhOwIC5Gg3jMbAmhZ,0.00528,0,0.0652,-6.145,1,0.0703,117.909,4,https://api.spotify.com/v1/tracks/51YZAJhOwIC5Gg3jMbAmhZ,audio_features,spotify:track:51YZAJhOwIC5Gg3jMbAmhZ,0.258
4,One (Remastered),...And Justice for All (Remastered Deluxe Box Set),1988-09-07,0.000668,0.438,446146,0.687,0LAcM6I7ijW4VVW0aytl1t,0.0801,7,0.42,-9.15,1,0.0619,103.01,3,https://api.spotify.com/v1/tracks/0LAcM6I7ijW4VVW0aytl1t,audio_features,spotify:track:0LAcM6I7ijW4VVW0aytl1t,0.426
5,The Unforgiven (Remastered),Metallica (Remastered),1991-08-12,0.0184,0.531,387160,0.583,7lwvxYumAEo10lzAplRGXM,0.00624,7,0.255,-9.47,1,0.0256,139.503,4,https://api.spotify.com/v1/tracks/7lwvxYumAEo10lzAplRGXM,audio_features,spotify:track:7lwvxYumAEo10lzAplRGXM,0.207
6,Whiskey In The Jar,"Garage, Inc.",1998-11-24,5.36e-06,0.511,304893,0.972,3ZpWy5rBZv2aLQAldnmTsP,0.00101,10,0.19,-3.751,1,0.0413,132.97,4,https://api.spotify.com/v1/tracks/3ZpWy5rBZv2aLQAldnmTsP,audio_features,spotify:track:3ZpWy5rBZv2aLQAldnmTsP,0.532
7,Sad But True (Remastered),Metallica (Remastered),1991-08-12,0.000926,0.624,324600,0.876,5UaDi8KzCGJqFfVAOBfXhi,0.00164,7,0.0561,-6.005,1,0.0342,89.24,4,https://api.spotify.com/v1/tracks/5UaDi8KzCGJqFfVAOBfXhi,audio_features,spotify:track:5UaDi8KzCGJqFfVAOBfXhi,0.453
8,Fuel,Reload,1997-11-18,2.3e-05,0.491,269733,0.951,1tTPC0hsnXq1IGpvWY54JC,0.00354,1,0.0424,-3.775,1,0.0465,106.948,4,https://api.spotify.com/v1/tracks/1tTPC0hsnXq1IGpvWY54JC,audio_features,spotify:track:1tTPC0hsnXq1IGpvWY54JC,0.555
9,Fade To Black (Remastered),Ride The Lightning (Deluxe Remaster),1984-07-27,0.00311,0.256,417227,0.929,0dqGfCMAGyDgpUAgLNOjWd,0.201,7,0.11,-6.667,1,0.113,113.47,4,https://api.spotify.com/v1/tracks/0dqGfCMAGyDgpUAgLNOjWd,audio_features,spotify:track:0dqGfCMAGyDgpUAgLNOjWd,0.278
0,The Trooper (2015 Remaster),Piece of Mind (2015 Remaster),1983-05-16,0.0326,0.286,252733,0.907,2C3B3dva983HPMojFqWLOp,0.00837,4,0.311,-4.601,0,0.0702,159.756,4,https://api.spotify.com/v1/tracks/2C3B3dva983HPMojFqWLOp,audio_features,spotify:track:2C3B3dva983HPMojFqWLOp,0.662
1,Run to the Hills (2015 Remaster),The Number of the Beast (2015 Remaster),1982-03-22,0.0286,0.249,233507,0.943,5b1jZ9geGD4boxz24XgGPp,0.00404,0,0.161,-5.188,1,0.0665,173.672,4,https://api.spotify.com/v1/tracks/5b1jZ9geGD4boxz24XgGPp,audio_features,spotify:track:5b1jZ9geGD4boxz24XgGPp,0.457
2,Fear of the Dark (2015 Remaster),Fear of the Dark (2015 Remaster),1992-05-11,0.000738,0.308,438120,0.866,2vlFd6wPsR3xvWPCOE0dQt,0.00146,2,0.232,-5.671,0,0.0593,109.823,4,https://api.spotify.com/v1/tracks/2vlFd6wPsR3xvWPCOE0dQt,audio_features,spotify:track:2vlFd6wPsR3xvWPCOE0dQt,0.228
3,The Number of the Beast (2015 Remaster),The Number of the Beast (2015 Remaster),1982-03-22,0.0876,0.409,290587,0.887,0EG9tDhr5rd931Ebj213nO,0.106,2,0.0935,-6.839,0,0.0578,100.494,4,https://api.spotify.com/v1/tracks/0EG9tDhr5rd931Ebj213nO,audio_features,spotify:track:0EG9tDhr5rd931Ebj213nO,0.289
4,Wasted Years (2015 Remaster),Somewhere in Time (2015 Remaster),1986-09-29,0.0259,0.315,309640,0.96,2Ghp7Ko67utW6Xk07MkVKj,0.000141,4,0.161,-4.657,0,0.0933,154.131,4,https://api.spotify.com/v1/tracks/2Ghp7Ko67utW6Xk07MkVKj,audio_features,spotify:track:2Ghp7Ko67utW6Xk07MkVKj,0.496
5,Hallowed Be Thy Name (2015 Remaster),The Number of the Beast (2015 Remaster),1982-03-22,0.0336,0.311,431093,0.881,2fWk525FzoJKsVD0kF1j9d,0.344,0,0.45,-6.215,1,0.0362,104.235,4,https://api.spotify.com/v1/tracks/2fWk525FzoJKsVD0kF1j9d,audio_features,spotify:track:2fWk525FzoJKsVD0kF1j9d,0.302
6,2 Minutes to Midnight (2015 Remaster),Powerslave (2015 Remaster),1984-09-03,0.00753,0.447,363587,0.97,0mgwfP6fcg3t0PPVoKXrF8,0.000291,9,0.199,-5.004,0,0.0508,94.254,4,https://api.spotify.com/v1/tracks/0mgwfP6fcg3t0PPVoKXrF8,audio_features,spotify:track:0mgwfP6fcg3t0PPVoKXrF8,0.588
7,Aces High (2015 Remaster),Powerslave (2015 Remaster),1984-09-03,0.034,0.3,271907,0.936,7klQm1UOICdgXPTuIATaCX,0.0209,7,0.158,-5.398,1,0.0456,133.115,4,https://api.spotify.com/v1/tracks/7klQm1UOICdgXPTuIATaCX,audio_features,spotify:track:7klQm1UOICdgXPTuIATaCX,0.757
8,Wasting Love (2015 Remaster),Fear of the Dark (2015 Remaster),1992-05-11,0.00569,0.328,351027,0.667,5VR7R8L5MivClO1VxZdZFx,3.56e-05,4,0.0873,-5.373,0,0.0322,140.38,4,https://api.spotify.com/v1/tracks/5VR7R8L5MivClO1VxZdZFx,audio_features,spotify:track:5VR7R8L5MivClO1VxZdZFx,0.291
9,Flight of Icarus (2015 Remaster),Piece of Mind (2015 Remaster),1983-05-16,0.147,0.367,230760,0.917,3OmdRcmtINXx1JP9Km7W9H,0.000121,6,0.169,-4.829,0,0.0773,110.455,4,https://api.spotify.com/v1/tracks/3OmdRcmtINXx1JP9Km7W9H,audio_features,spotify:track:3OmdRcmtINXx1JP9Km7W9H,0.343
0,Paranoid - 2012 - Remaster,Paranoid (Remaster),1970-09-18,4.52e-05,0.412,168406,0.658,1Y373MqadDRtclJNdnUXVc,0.000774,4,0.176,-12.051,0,0.0708,163.071,4,https://api.spotify.com/v1/tracks/1Y373MqadDRtclJNdnUXVc,audio_features,spotify:track:1Y373MqadDRtclJNdnUXVc,0.454
1,Iron Man - 2012 - Remaster,Paranoid (Remaster),1970-09-18,0.00351,0.336,355304,0.792,3IOQZRcEkplCXg6LofKqE9,0.00175,9,0.0437,-10.875,1,0.084,155.587,4,https://api.spotify.com/v1/tracks/3IOQZRcEkplCXg6LofKqE9,audio_features,spotify:track:3IOQZRcEkplCXg6LofKqE9,0.427
2,War Pigs / Luke's Wall - 2012 - Remaster,Paranoid (Remaster),1970-09-18,0.222,0.332,474360,0.623,2rd9ETlulTbz6BYZcdvIE1,0.000895,9,0.278,-12.363,1,0.08,183.097,4,https://api.spotify.com/v1/tracks/2rd9ETlulTbz6BYZcdvIE1,audio_features,spotify:track:2rd9ETlulTbz6BYZcdvIE1,0.413
3,N.I.B.,The Ultimate Collection,2017-02-03,0.0838,0.476,364493,0.556,2GnVuaoKSkB6Xa07l1BBg8,1.59e-05,4,0.125,-10.586,0,0.0646,103.122,4,https://api.spotify.com/v1/tracks/2GnVuaoKSkB6Xa07l1BBg8,audio_features,spotify:track:2GnVuaoKSkB6Xa07l1BBg8,0.43
4,Children of the Grave - 2014 Remaster,Master of Reality (2014 Remaster),1971-07-21,0.0802,0.318,317206,0.65,5clz8BOBulxx7q2yHxqOCk,0.132,6,0.0962,-13.928,1,0.0375,149.994,4,https://api.spotify.com/v1/tracks/5clz8BOBulxx7q2yHxqOCk,audio_features,spotify:track:5clz8BOBulxx7q2yHxqOCk,0.368
5,Heaven and Hell - 2008 Remaster,Heaven and Hell (2008 Remaster),1980-04-25,0.0239,0.329,419933,0.673,3Jl5GohfNwozDmpzmQBLDI,0.109,3,0.138,-8.465,0,0.0296,91.122,4,https://api.spotify.com/v1/tracks/3Jl5GohfNwozDmpzmQBLDI,audio_features,spotify:track:3Jl5GohfNwozDmpzmQBLDI,0.323
6,Orchid - 2014 Remaster,Master of Reality (2014 Remaster),1971-07-21,0.753,0.492,90783,0.0499,7f5pVscGqWGPmzyAJ3thAI,0.834,11,0.139,-28.814,1,0.0484,101.366,3,https://api.spotify.com/v1/tracks/7f5pVscGqWGPmzyAJ3thAI,audio_features,spotify:track:7f5pVscGqWGPmzyAJ3thAI,0.631
7,Planet Caravan - 2012 - Remaster,Paranoid (Remaster),1970-09-18,0.941,0.368,269027,0.0595,2VDg6h3Qr3F8UuFVInQxE6,0.889,9,0.0827,-28.603,1,0.036,90.127,4,https://api.spotify.com/v1/tracks/2VDg6h3Qr3F8UuFVInQxE6,audio_features,spotify:track:2VDg6h3Qr3F8UuFVInQxE6,0.338
8,Sabbath Bloody Sabbath - 2014 Remaster,Sabbath Bloody Sabbath (2014 Remaster),1973-12-01,0.369,0.359,346637,0.625,2bku1YWarHpKlxVC2FB9dH,7.7e-05,1,0.0674,-9.643,0,0.0351,137.764,4,https://api.spotify.com/v1/tracks/2bku1YWarHpKlxVC2FB9dH,audio_features,spotify:track:2bku1YWarHpKlxVC2FB9dH,0.524
9,Sweet Leaf - 2014 Remaster,Master of Reality (2014 Remaster),1971-07-21,0.00183,0.362,304787,0.6,2FZ0yrA5aPClG5ZPBlV7n4,0.0426,2,0.0814,-12.285,1,0.0463,148.462,4,https://api.spotify.com/v1/tracks/2FZ0yrA5aPClG5ZPBlV7n4,audio_features,spotify:track:2FZ0yrA5aPClG5ZPBlV7n4,0.658
0,Duality,Vol. 3: The Subliminal Verses,2004,0.000237,0.354,252613,0.982,61mWefnWQOLf90gepjOCb3,0.000294,4,0.204,-3.026,0,0.168,143.772,4,https://api.spotify.com/v1/tracks/61mWefnWQOLf90gepjOCb3,audio_features,spotify:track:61mWefnWQOLf90gepjOCb3,0.194
1,Psychosocial,All Hope Is Gone (10th Anniversary),2008-08-20,0.00269,0.568,284120,0.981,3RAFcUBrCNaboRXoP3S5t1,0.00275,2,0.0243,-3.889,1,0.0887,135.146,4,https://api.spotify.com/v1/tracks/3RAFcUBrCNaboRXoP3S5t1,audio_features,spotify:track:3RAFcUBrCNaboRXoP3S5t1,0.307
2,Custer,.5: The Gray Chapter (Special Edition),2014-10-15,0.00174,0.407,254467,0.98,3GiJq4AQK7324mfIQbpiTf,0.000112,7,0.119,-1.58,1,0.107,131.066,4,https://api.spotify.com/v1/tracks/3GiJq4AQK7324mfIQbpiTf,audio_features,spotify:track:3GiJq4AQK7324mfIQbpiTf,0.537
3,Before I Forget,Vol. 3: The Subliminal Verses,2004,0.0177,0.291,278600,0.974,6wqJeItl3Vc3az4ZicSQAB,5.44e-06,6,0.886,-2.997,0,0.171,134.724,4,https://api.spotify.com/v1/tracks/6wqJeItl3Vc3az4ZicSQAB,audio_features,spotify:track:6wqJeItl3Vc3az4ZicSQAB,0.348
4,Wait and Bleed,Slipknot,1999-06-12,0.00208,0.382,147840,0.996,15DLl1r2zi07Ssq5RT1yT0,0.0,7,0.417,-4.119,1,0.104,93.345,4,https://api.spotify.com/v1/tracks/15DLl1r2zi07Ssq5RT1yT0,audio_features,spotify:track:15DLl1r2zi07Ssq5RT1yT0,0.327
5,Snuff,All Hope Is Gone (10th Anniversary),2008-08-20,0.012,0.544,276147,0.69,2vPZ4Lklyu75zBR3SgbFNI,0.0095,6,0.0615,-5.723,0,0.0425,123.962,4,https://api.spotify.com/v1/tracks/2vPZ4Lklyu75zBR3SgbFNI,audio_features,spotify:track:2vPZ4Lklyu75zBR3SgbFNI,0.219
6,The Devil in I,.5: The Gray Chapter (Special Edition),2014-10-15,0.00591,0.398,342821,0.939,5hheGdf1cb4rK0FNiedCfK,0.000881,9,0.357,-2.865,0,0.0648,92.027,4,https://api.spotify.com/v1/tracks/5hheGdf1cb4rK0FNiedCfK,audio_features,spotify:track:5hheGdf1cb4rK0FNiedCfK,0.235
